	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50
A4GALT	6.25	5	16.25	0	0	0	2.5	2.5	7.5	1.25	1.25	0	2.5	6.25	1.25	3.75	2.5	0	10	0	6.25	2.5	0	6.25	0	0	0	5	6.25	0	0	5	7.5	5	0	1.25	1.25	7.5	5	2.5	11.25	5	1.25	2.5	0	3.75	0	0	1.25	1.25
AACS	3836.25	2091.25	2255	3490	2768.75	3696.25	2663.75	6145	991.25	5246.25	5565	2395	5921.25	4550	4410	952.5	2192.5	2223.75	4815	2081.25	4056.25	2313.75	1520	2330	7317.5	2748.75	4047.5	1606.25	2732.5	2608.75	3038.75	1550	2197.5	3696.25	4260	2900	2653.75	1110	5683.75	2952.5	2097.5	2515	746.25	3916.25	4751.25	1523.75	1480	2471.25	1071.25	2176.25
AADAT	3201.25	820	1437.5	2341.25	2060	1475	2583.75	1548.75	1708.75	2915	1562.5	1922.5	1571.25	2628.75	2380	3142.5	1135	3451.25	3585	2660	2721.25	2735	465	1266.25	3291.25	2510	1457.5	1855	2231.25	2405	3837.5	2498.75	1983.75	2760	2333.75	1176.25	1426.25	2171.25	2438.75	1800	2838.75	4826.25	1773.75	2445	3196.25	3442.5	1408.75	2070	2655	2330
AAK1	16568.75	16030	14903.75	13650	12537.5	10010	17772.5	27500	16043.75	20928.75	11652.5	22076.25	15667.5	21997.5	15341.25	14362.5	15892.5	11712.5	17002.5	11181.25	22871.25	12178.75	21472.5	11815	19528.75	17296.25	12552.5	16681.25	13873.75	15496.25	18708.75	15467.5	18603.75	18096.25	12260	21637.5	24533.75	12623.75	18361.25	18921.25	10768.75	15575	19247.5	13861.25	16191.25	22490	11751.25	13648.75	13517.5	10925
AASDH	4453.75	4147.5	2576.25	4291.25	5167.5	5257.5	3336.25	2265	2970	6600	5147.5	5056.25	3832.5	3590	4185	1706.25	4780	2587.5	2493.75	4701.25	4060	2397.5	2997.5	3603.75	3811.25	6312.5	5705	3386.25	3706.25	2907.5	2937.5	2657.5	3132.5	4845	3383.75	1340	2693.75	2817.5	6058.75	2885	3845	5676.25	3050	6281.25	4602.5	2346.25	6193.75	3567.5	5073.75	3928.75
AASS	29857.5	59250	61183.75	55055	67920	35446.25	42210	24708.75	42312.5	74145	84231.25	34316.25	64312.5	26921.25	73620	35781.25	49878.75	57942.5	41470	54213.75	36985	33365	28228.75	43731.25	49571.25	36497.5	78921.25	22807.5	53772.5	43423.75	83313.75	58702.5	35501.25	41178.75	68290	20070	26837.5	39001.25	59363.75	45422.5	24838.75	50472.5	24016.25	38775	45373.75	54118.75	65935	76445	55076.25	56422.5
AATK	1442.5	1242.5	931.25	2321.25	1387.5	1733.75	1688.75	1136.25	1818.75	1947.5	1071.25	1441.25	1862.5	1095	877.5	2496.25	1501.25	2563.75	2073.75	1506.25	1701.25	1878.75	1500	807.5	3143.75	736.25	2936.25	1167.5	845	1310	3017.5	1821.25	1765	1612.5	1481.25	916.25	817.5	1632.5	3047.5	1306.25	902.5	1262.5	733.75	1503.75	1078.75	663.75	1633.75	1370	2588.75	2105
ABCA2	348.75	332.5	93.75	175	131.25	158.75	291.25	138.75	215	350	328.75	190	353.75	247.5	158.75	193.75	406.25	111.25	338.75	326.25	240	436.25	223.75	208.75	272.5	217.5	151.25	213.75	223.75	188.75	196.25	276.25	368.75	106.25	243.75	127.5	172.5	461.25	233.75	73.75	256.25	238.75	206.25	572.5	126.25	136.25	212.5	346.25	265	158.75
ABCA4	26.25	27.5	61.25	86.25	223.75	691.25	36.25	45	186.25	51.25	103.75	175	1341.25	1455	130	57.5	886.25	161.25	48.75	78.75	92.5	68.75	752.5	108.75	68.75	883.75	678.75	15	242.5	185	53.75	1335	71.25	1355	730	113.75	127.5	747.5	57.5	778.75	700	302.5	736.25	146.25	115	148.75	48.75	38.75	1.25	0
ABCA8	4617.5	3170	1453.75	4150	1818.75	8938.75	6183.75	6822.5	8462.5	893.75	4306.25	2957.5	4908.75	1590	995	11642.5	4575	5246.25	2928.75	5078.75	2392.5	6106.25	2762.5	3486.25	8088.75	921.25	3483.75	6161.25	1137.5	7047.5	2853.75	4091.25	1566.25	1686.25	6220	820	1700	3230	6380	3977.5	2346.25	3111.25	1178.75	876.25	3486.25	470	2967.5	1532.5	6068.75	10125
ABCB1	1446.25	1667.5	1960	2975	1137.5	1076.25	1228.75	13101.25	518.75	1602.5	1502.5	8166.25	301.25	325	2831.25	5963.75	1928.75	2312.5	1242.5	815	968.75	791.25	3288.75	2095	3795	2187.5	1777.5	1242.5	1862.5	1646.25	2791.25	866.25	550	873.75	1972.5	8837.5	7422.5	472.5	3570	3402.5	900	1076.25	1428.75	675	3171.25	1396.25	3595	3351.25	2078.75	1638.75
ABCB10	1177.5	1712.5	1120	2165	615	2062.5	771.25	438.75	1106.25	2153.75	2040	1845	3351.25	623.75	686.25	872.5	3418.75	3577.5	2503.75	725	678.75	1028.75	1720	673.75	980	3712.5	1668.75	1105	2301.25	908.75	790	921.25	1543.75	2532.5	2315	75	538.75	956.25	2296.25	2127.5	522.5	1807.5	1677.5	713.75	808.75	2152.5	3243.75	3585	1130	710
ABCB4	130	233.75	131.25	358.75	228.75	125	106.25	37.5	52.5	230	535	275	282.5	117.5	181.25	117.5	86.25	490	137.5	36.25	386.25	47.5	61.25	192.5	418.75	538.75	656.25	216.25	265	40	725	32.5	66.25	221.25	682.5	160	242.5	262.5	276.25	38.75	215	141.25	607.5	102.5	162.5	270	141.25	37.5	278.75	15
ABCB8	577.5	868.75	1431.25	3087.5	880	1843.75	346.25	406.25	2270	225	1588.75	706.25	1442.5	1921.25	1327.5	908.75	328.75	1758.75	1931.25	2513.75	1106.25	985	911.25	562.5	745	508.75	807.5	725	1156.25	1621.25	1358.75	2343.75	2407.5	1882.5	1938.75	216.25	551.25	2296.25	113.75	523.75	532.5	1031.25	1407.5	1225	163.75	1055	1681.25	965	418.75	490
ABCB9	263.75	162.5	463.75	327.5	536.25	470	136.25	82.5	91.25	272.5	878.75	238.75	356.25	181.25	321.25	15	391.25	577.5	377.5	16.25	103.75	113.75	82.5	92.5	437.5	201.25	388.75	103.75	297.5	292.5	533.75	273.75	152.5	173.75	462.5	90	76.25	248.75	626.25	476.25	351.25	556.25	42.5	312.5	150	225	628.75	480	145	438.75
