	astrocytes	endothelial	microglia	neurons	oligodendrocytes
1	0.31	0.11	0.05	0.43	0.1
2	0.19	0.05	0.09	0.49	0.18
3	0.18	0.01	0.03	0.6	0.18
4	0.425742574257426	0.0693069306930693	0.0495049504950495	0.356435643564356	0.099009900990099
5	0.28	0.09	0.11	0.44	0.08
6	0.303030303030303	0.0202020202020202	0	0.535353535353535	0.141414141414141
7	0.31	0.11	0.08	0.43	0.07
8	0.37	0.04	0.09	0.42	0.08
9	0.15	0.11	0.07	0.58	0.09
10	0.14	0.11	0.04	0.62	0.09
11	0.21	0.04	0.11	0.48	0.16
12	0.32	0.04	0.12	0.36	0.16
13	0.14	0.08	0.05	0.62	0.11
14	0.188118811881188	0.188118811881188	0.0594059405940594	0.297029702970297	0.267326732673267
15	0.12	0.06	0.18	0.55	0.09
16	0.27	0.06	0.09	0.45	0.13
17	0.227722772277228	0.0396039603960396	0.0891089108910891	0.544554455445545	0.099009900990099
18	0.22	0.04	0	0.62	0.12
19	0.242424242424242	0.0909090909090909	0.0505050505050505	0.414141414141414	0.202020202020202
20	0.28	0.11	0.04	0.45	0.12
21	0.2	0.13	0.12	0.45	0.1
22	0.272727272727273	0.0101010101010101	0.0202020202020202	0.444444444444444	0.252525252525253
23	0.373737373737374	0.0606060606060606	0.0303030303030303	0.373737373737374	0.161616161616162
24	0.31	0.03	0.16	0.24	0.26
25	0.545454545454545	0.0303030303030303	0.0909090909090909	0.292929292929293	0.0404040404040404
26	0.43	0.04	0.02	0.43	0.08
27	0.13	0.04	0.11	0.61	0.11
28	0.141414141414141	0.101010101010101	0.111111111111111	0.525252525252525	0.121212121212121
29	0.0303030303030303	0.0505050505050505	0.0505050505050505	0.636363636363636	0.232323232323232
30	0.287128712871287	0.0396039603960396	0.0594059405940594	0.544554455445545	0.0693069306930693
31	0.15	0.14	0.06	0.53	0.12
32	0.118811881188119	0.0297029702970297	0.0495049504950495	0.584158415841584	0.217821782178218
33	0.15	0.02	0.06	0.56	0.21
34	0.09	0.07	0.05	0.73	0.06
35	0.4	0.1	0.04	0.32	0.14
36	0.15	0.11	0.06	0.48	0.2
37	0.326732673267327	0.108910891089109	0.0693069306930693	0.386138613861386	0.108910891089109
38	0.32	0.05	0.13	0.41	0.09
39	0.2	0.02	0.09	0.55	0.14
40	0.25	0.06	0.01	0.42	0.26
41	0.17	0.1	0.03	0.58	0.12
42	0.31	0.03	0.08	0.46	0.12
43	0.13	0.16	0.15	0.4	0.16
44	0.237623762376238	0.0693069306930693	0.0396039603960396	0.485148514851485	0.168316831683168
45	0.15	0.04	0.04	0.63	0.14
46	0.148514851485149	0.0099009900990099	0.217821782178218	0.465346534653465	0.158415841584158
47	0.28	0.04	0.08	0.39	0.21
48	0.22	0.12	0.04	0.55	0.07
49	0.151515151515152	0.0606060606060606	0.121212121212121	0.616161616161616	0.0505050505050505
50	0.257425742574257	0.0495049504950495	0.0396039603960396	0.584158415841584	0.0693069306930693
